snpId,GeneID,GeneSymbol,Disease,Rank,Reps,HighHits,Rules,RankOrder,chromosome,position,variant_consequence_type,Severity,Shape,BPfull,SeverityPlot,Label
rs12459419,945,CD33,Alzheimer's Disease,9437.5,10,26.2,362.8,943.75,19,51225221,missense variant,Moderate,19,2592042249,3,""
rs12459810,602,BCL3,Alzheimer's Disease,3181.5,10,76.9,1095.7,318.15,19,44746404,upstream gene variant,Modifier,19,2585563432,2,""
rs12472035,7341,SUMO1,Alzheimer's Disease,8492,8,20.25,800.625,1061.5,2,202221970,non coding transcript exon variant,Modifier,19,449640990,2,""
rs12493050,27074,LAMP3,Parkinson Disease,6791,10,53,708.8,679.1,3,183147285,intron variant,Modifier,19,663838069,2,""
rs12497850,51447,IP6K2,Parkinson Disease,11087,10,33.7,220.1,1108.7,3,48711556,intron variant,Modifier,19,529402340,2,""
rs1250542,57178,ZMIZ1,Multiple Sclerosis,3022,8,23.75,493.125,377.75,10,79274913,intron variant,Modifier,19,1699009032,2,""
rs1250550,57178,ZMIZ1,Multiple Sclerosis,3022,8,23.75,493.125,377.75,10,79300560,intron variant,Modifier,19,1699034679,2,""
rs1250552,57178,ZMIZ1,Multiple Sclerosis,3022,8,23.75,493.125,377.75,10,79298270,intron variant,Modifier,19,1699032389,2,""
rs1254812113,57704,GBA2,Parkinson Disease,8725.5,10,17.7,500.7,872.55,9,35740076,missense variant,Moderate,19,1518456163,3,""
rs12564040,23400,ATP13A2,Parkinson Disease,5513,10,45.9,494.6,551.3,1,16992562,missense variant,Moderate,19,16992562,3,""
rs1256429,9455,HOMER2,Alzheimer's Disease,13367,10,32.5,223,1336.7,15,82852284,non coding transcript exon variant,Modifier,19,2294430388,2,""
rs12571141,114815,SORCS1,Alzheimer's Disease,11184,8,16.25,524.375,1398,10,106988912,intron variant,Modifier,19,1726723031,2,""
rs1258359845,5071,PRKN,Parkinson Disease,10652,9,11,998.777777777778,1183.55555555556,6,161360092,synonymous variant,Low,19,1183425357,1,""
rs12599600,116028,RMI2,Multiple Sclerosis,1118,9,55,947.666666666667,124.222222222222,16,11340245,intron variant,Modifier,19,2312247123,2,""
rs12637471,56922,MCCC1,Alzheimer's Disease,10754,10,32.5,409.6,1075.4,3,183044649,intron variant,Modifier,8,663735433,2,""
rs12637471,56922,MCCC1,Parkinson Disease,9265,10,33.1,414.2,926.5,3,183044649,intron variant,Modifier,8,663735433,2,""
rs12638619,56922,MCCC1,Parkinson Disease,9265,10,33.1,414.2,926.5,3,183081454,intron variant,Modifier,19,663772238,2,""
rs1267305911,6472,SHMT2,Parkinson Disease,6338,6,30,227.5,1056.33333333333,12,57230912,missense variant,Moderate,19,1926071903,3,""
rs1267969615,1636,ACE,Multiple Sclerosis,2954,8,18.125,353.5,369.25,17,63490960,missense variant,Moderate,19,2454317682,3,""
rs12708716,23274,CLEC16A,Multiple Sclerosis,3793,8,18.125,353.5,474.125,16,11086016,intron variant,Modifier,19,2311992894,2,""
rs12726330,55974,SLC50A1,Parkinson Disease,11491.5,10,33.1,414.2,1149.15,1,155135691,splice region variant,Low,19,155135691,1,""
rs12778366,23411,SIRT1,Parkinson Disease,496,10,262.1,3833.3,49.6,10,67883321,upstream gene variant,Modifier,19,1687617440,2,""
rs1277892620,31,ACACA,Parkinson Disease,9501.5,10,36.3,682.3,950.15,17,37242036,synonymous variant,Low,19,2428068758,1,""
rs12787412,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,85992050,intron variant,Modifier,19,1831772316,2,""
rs12790526,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,86056298,intron variant,Modifier,19,1831836564,2,""
rs12794211,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,85992953,intron variant,Modifier,19,1831773219,2,""
rs12795381,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,85993023,intron variant,Modifier,19,1831773289,2,""
rs12795833,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,86002132,intron variant,Modifier,19,1831782398,2,""
rs12802399,8301,PICALM,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,11,86045783,intron variant,Modifier,19,1831826049,2,""
rs1290094897,11315,PARK7,Parkinson Disease,669,10,258.5,4637.8,66.9,1,7962815,synonymous variant,Low,19,7962815,1,""
rs1292034,6198,RPS6KB1,Multiple Sclerosis,484.5,9,55,1515,53.8333333333333,17,59912499,intron variant,Modifier,19,2450739221,2,""
rs12927355,23274,CLEC16A,Multiple Sclerosis,3793,8,18.125,353.5,474.125,16,11100914,intron variant,Modifier,19,2312007792,2,""
rs12928822,116028,RMI2,Multiple Sclerosis,1118,9,55,947.666666666667,124.222222222222,16,11310036,intron variant,Modifier,19,2312216914,2,""
rs12938476,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45735531,intron variant,Modifier,19,2436562253,2,""
rs1298733861,26058,GIGYF2,Parkinson Disease,9015,10,33.7,220.1,901.5,2,232806613,missense variant,Moderate,19,480225633,3,""
rs129882,1621,DBH,Parkinson Disease,12778,10,10,300.3,1277.8,9,133658547,3 prime UTR variant,Modifier,19,1616374634,2,""
rs12988804,4036,LRP2,Multiple Sclerosis,4025.5,7,19.4285714285714,183.857142857143,575.071428571429,2,169261301,intron variant,Modifier,19,416680321,2,""
rs1303864231,79923,NANOG,Alzheimer's Disease,10870,8,12.625,294.5,1358.75,12,7789754,missense variant,Moderate,19,1876630745,3,""
rs13107325,64116,SLC39A8,Parkinson Disease,9015,10,33.7,220.1,901.5,4,102267552,missense variant,Moderate,19,778532659,3,""
rs1312532981,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73170846,missense variant,Moderate,19,2179952919,3,""
rs1314386070,1666,DECR1,Alzheimer's Disease,3429,9,39.3333333333333,1067,381,8,90042766,missense variant,Moderate,19,1430146030,3,""
rs1314714440,11332,ACOT7,Alzheimer's Disease,9437.5,10,26.2,362.8,943.75,1,6349787,missense variant,Moderate,19,6349787,3,""
rs13164495,375484,SIMC1,Alzheimer's Disease,11337,8,17.5,648.5,1417.125,5,176339476,intron variant,Modifier,19,1021777994,2,""
rs132985,8398,PLA2G6,Parkinson Disease,11317.5,10,35.3,195.3,1131.75,22,38167464,intron variant,Modifier,19,2739490223,2,""
rs1330229174,6622,SNCA,Parkinson Disease,942,10,77.9,3029.6,94.2,4,89835568,missense variant,Moderate,19,766100675,3,""
rs1330260959,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,161569370,missense variant,Moderate,19,1183634635,3,""
rs1335532,965,CD58,Multiple Sclerosis,756,7,45.1428571428572,1747.28571428571,108,1,116558335,intron variant,Modifier,19,116558335,2,""
rs1336015995,102,ADAM10,Alzheimer's Disease,13574,8,10.125,107.75,1696.75,15,58717640,missense variant,Moderate,19,2270295744,3,""
rs1340863788,4157,MC1R,Parkinson Disease,11695.5,10,10,300.3,1169.55,16,89919595,missense variant,Moderate,19,2390826473,3,""
rs1347297,114880,OSBPL6,Alzheimer's Disease,13367,10,32.5,223,1336.7,2,178380259,intron variant,Modifier,19,425799279,2,""
rs1359880314,6573,SLC19A1,Parkinson Disease,3824,10,103.8,1604.4,382.4,21,45534541,synonymous variant,Low,19,2701319420,1,""
rs1360780,2289,FKBP5,Alzheimer's Disease,6807,10,45.8,873.1,680.7,6,35639794,intron variant,Modifier,19,1057705059,2,""
rs1362575880,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73192840,missense variant,Moderate,19,2179974913,3,""
rs1366541089,1509,CTSD,Alzheimer's Disease,395,10,99.2,1960.3,39.5,11,1754930,missense variant,Moderate,19,1747535196,3,""
rs1366901063,3312,HSPA8,Parkinson Disease,774,10,107.1,3017,77.4,11,123060725,missense variant,Moderate,19,1868840991,3,""
rs1369330655,1509,CTSD,Alzheimer's Disease,395,10,99.2,1960.3,39.5,11,1761421,missense variant,Moderate,19,1747541687,3,""
rs1372519,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89836158,5 prime UTR variant,Modifier,19,766101265,2,""
rs1372520,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89836354,intron variant,Modifier,19,766101461,2,""
rs137875858,8633,UNC5C,Alzheimer's Disease,5727,10,26.4,1235.8,572.7,4,95170280,missense variant,Moderate,19,771435387,3,""
rs137929838,23127,COLGALT2,Alzheimer's Disease,13367,10,32.5,223,1336.7,1,183941302,intron variant,Modifier,19,183941302,2,""
rs138050841,65018,PINK1,Parkinson Disease,3193,10,44.3,1178.5,319.3,1,20637894,missense variant,Moderate,19,20637894,3,""
rs138235833,,"",Alzheimer's Disease,9152,10,36.6666666666667,1191,915.2,19,44912028,non coding transcript exon variant,Modifier,19,2585729056,2,""
rs1385600,9846,GAB2,Alzheimer's Disease,9690,10,58.7,583.8,969,11,78225120,synonymous variant,Low,19,1824005386,1,""
rs1388429104,948,CD36,Parkinson Disease,2059,9,57.5555555555556,1876.77777777778,228.777777777778,7,80656693,missense variant,Moderate,19,1265449981,3,""
rs139650807,26020,LRP10,Parkinson Disease,7235,10,33.1,414.2,723.5,14,22875867,missense variant,Moderate,19,2129657940,3,""
rs1396862,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45825631,non coding transcript exon variant,Modifier,19,2436652353,2,""
rs1396862,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45825631,non coding transcript exon variant,Modifier,19,2436652353,2,""
rs1399439,121601,ANO4,Alzheimer's Disease,11184,8,16.25,524.375,1398,12,100827461,intron variant,Modifier,19,1969668452,2,""
rs140304729,351,APP,Parkinson Disease,1614,6,65.5,2266.83333333333,269,21,25911855,missense variant,Moderate,19,2681696734,3,""
rs140442947,2932,GSK3B,Alzheimer's Disease,197,10,208.9,3569,19.7,3,119865430,intron variant,Modifier,19,600556214,2,rs140442947
rs140673282,3575,IL7R,Multiple Sclerosis,1250,8,21.25,1352.875,156.25,5,35860866,missense variant,Moderate,19,881299384,3,""
rs140758033,8398,PLA2G6,Parkinson Disease,9336.5,10,35.3,195.3,933.65,22,38112165,missense variant,Moderate,19,2739434924,3,""
rs1408585874,4968,OGG1,Alzheimer's Disease,5595,10,24.6,916.6,559.5,3,9757233,missense variant,Moderate,19,490448017,3,""
rs141051364,26058,GIGYF2,Parkinson Disease,12579.5,10,33.7,220.1,1257.95,2,232756252,synonymous variant,Low,19,480175272,1,""
rs1411478,10228,STX6,Parkinson Disease,11087,10,33.7,220.1,1108.7,1,180993146,intron variant,Modifier,19,180993146,2,""
rs141171369,146722,CD300LF,Multiple Sclerosis,3349,7,19.4285714285714,183.857142857143,478.428571428572,17,74704762,missense variant,Moderate,19,2465531484,3,""
rs141218484,79026,AHNAK,Alzheimer's Disease,10754,10,32.5,409.6,1075.4,11,62481191,intron variant,Modifier,19,1808261457,2,""
rs1414273,965,CD58,Multiple Sclerosis,756,7,45.1428571428572,1747.28571428571,108,1,116560027,non coding transcript exon variant,Modifier,19,116560027,2,""
rs141622900,,"",Alzheimer's Disease,5694,10,41.7,1253.1,569.4,19,44923535,upstream gene variant,Modifier,19,2585740563,2,""
rs142200609,79875,THSD4,Alzheimer's Disease,17226,10,2.6,187.6,1722.6,15,71449755,intron variant,Modifier,19,2283027859,2,""
rs14235,10295,BCKDK,Parkinson Disease,6598,10,65.7,1119,659.8,16,31110472,synonymous variant,Low,19,2332017350,1,""
rs1429412356,4137,MAPT,Alzheimer's Disease,3045.5,9,50.6666666666667,953.333333333333,338.388888888889,17,46023989,missense variant,Moderate,19,2436850711,3,""
rs1433481612,1809,DPYSL3,Alzheimer's Disease,4622,10,39.5,827.3,462.2,5,147412666,missense variant,Moderate,19,992851184,3,""
rs1433515721,4137,MAPT,Parkinson Disease,3388,10,63.6,815,338.8,17,45996618,missense variant,Moderate,19,2436823340,3,""
rs143455013,2597,GAPDH,Parkinson Disease,3221,7,60.5714285714286,802.428571428571,460.142857142857,12,6537864,missense variant,Moderate,19,1875378855,3,""
rs143624519,4137,MAPT,Alzheimer's Disease,3045.5,9,50.6666666666667,953.333333333333,338.388888888889,17,45991484,missense variant,Moderate,8,2436818206,3,""
rs143624519,4137,MAPT,Parkinson Disease,3388,10,63.6,815,338.8,17,45991484,missense variant,Moderate,8,2436818206,3,""
rs1438259227,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,162443428,missense variant,Moderate,19,1184508693,3,""
rs143830698,1636,ACE,Alzheimer's Disease,9437.5,10,26.2,362.8,943.75,17,63488659,missense variant,Moderate,19,2454315381,3,""
rs144191434,421,ARVCF,Alzheimer's Disease,13988,8,10.125,107.75,1748.5,22,20016577,intron variant,Modifier,19,2721339336,2,""
rs1442190,1272,CNTN1,Parkinson Disease,11640,9,9,308.666666666667,1293.33333333333,12,40971838,3 prime UTR variant,Modifier,19,1909812829,2,""
rs144311893,,"",Alzheimer's Disease,5694,10,41.7,1253.1,569.4,19,44920687,downstream gene variant,Modifier,19,2585737715,2,""
rs144662445,10142,AKAP9,Alzheimer's Disease,10564.5,10,32.5,223,1056.45,7,92079771,missense variant,Moderate,19,1276873059,3,""
rs1446915570,5663,PSEN1,Alzheimer's Disease,8050,10,45.8,1243.3,805,14,73173623,synonymous variant,Low,19,2179955696,1,""
rs1448674651,7298,TYMS,Parkinson Disease,3655,9,36.1111111111111,1953.33333333333,406.111111111111,18,671384,missense variant,Moderate,19,2466202868,3,""
rs144888138,2521,FUS,Parkinson Disease,4241.5,9,40.1111111111111,995.444444444444,471.277777777778,16,31182526,missense variant,Moderate,19,2332089404,3,""
rs145049847,100288072,SDR42E2,Alzheimer's Disease,13988,8,10.125,107.75,1748.5,16,22190681,3 prime UTR variant,Modifier,19,2323097559,2,""
rs145155041,8633,UNC5C,Alzheimer's Disease,5727,10,26.4,1235.8,572.7,4,95242480,missense variant,Moderate,19,771507587,3,""
rs145196092,11315,PARK7,Parkinson Disease,283,10,258.5,4637.8,28.3,1,7970960,missense variant,Moderate,19,7970960,3,""
rs145518263,102,ADAM10,Alzheimer's Disease,13574,8,10.125,107.75,1696.75,15,58665141,missense variant,Moderate,19,2270243245,3,""
rs1461089499,4137,MAPT,Parkinson Disease,3388,10,63.6,815,338.8,17,46023990,missense variant,Moderate,19,2436850712,3,""
rs1462568548,27235,COQ2,Parkinson Disease,4787,10,69,414.4,478.7,4,83279049,missense variant,Moderate,19,759544156,3,""
rs1465201414,23274,CLEC16A,Multiple Sclerosis,2954,8,18.125,353.5,369.25,16,10971132,missense variant,Moderate,19,2311878010,3,""
rs1467967,4137,MAPT,Alzheimer's Disease,5642,9,50.6666666666667,953.333333333333,626.888888888889,17,45908813,intron variant,Modifier,19,2436735535,2,""
rs1468727,1956,EGFR,Alzheimer's Disease,246,8,112.875,7500.25,30.75,7,55162412,intron variant,Modifier,19,1239955700,2,""
rs1470272477,29110,TBK1,Alzheimer's Disease,8040,10,32.5,409.6,804,12,64495561,missense variant,Moderate,19,1933336552,3,""
rs1470543813,3483,IGFALS,Parkinson Disease,2909,10,51.4,732.6,290.9,16,1792093,stop gained,High,19,2302698971,4,""
rs147277743,23400,ATP13A2,Parkinson Disease,5513,10,45.9,494.6,551.3,1,16991749,missense variant,Moderate,19,16991749,3,""
rs147458427,9451,EIF2AK3,Alzheimer's Disease,567,9,76.5555555555556,1986.66666666667,63,2,88593320,missense variant,Moderate,19,336012340,3,""
rs147623346,26058,GIGYF2,Parkinson Disease,9015,10,33.7,220.1,901.5,2,232747717,missense variant,Moderate,19,480166737,3,""
rs1477422925,114548,NLRP3,Parkinson Disease,6246,10,21.9,874.4,624.6,1,247418853,missense variant,Moderate,19,247418853,3,""
rs147757966,5071,PRKN,Parkinson Disease,7704,9,11,998.777777777778,856,6,162443383,missense variant,Moderate,19,1184508648,3,""
rs147991290,8867,SYNJ1,Alzheimer's Disease,11337,8,17.5,648.5,1417.125,21,32716160,intron variant,Modifier,19,2688501039,2,""
rs148038848,468,ATF4,Parkinson Disease,1380,10,78.8,2436.2,138,22,39521605,missense variant,Moderate,19,2740844364,3,""
rs148078867,10347,ABCA7,Alzheimer's Disease,7075,10,28.4,606.1,707.5,19,1044727,missense variant,Moderate,8,2541861755,3,""
rs148078867,10347,ABCA7,Parkinson Disease,5261,10,43,571,526.1,19,1044727,missense variant,Moderate,8,2541861755,3,""
rs1481318368,7054,TH,Parkinson Disease,6806,8,14.125,1037.625,850.75,11,2169802,missense variant,Moderate,19,1747950068,3,""
rs148156462,27235,COQ2,Parkinson Disease,4787,10,69,414.4,478.7,4,83264287,missense variant,Moderate,19,759529394,3,""
rs1481950,51606,ATP6V1H,Alzheimer's Disease,8700.5,9,41.8888888888889,517.555555555556,966.722222222222,8,53777725,intron variant,Modifier,19,1393880989,2,""
rs1483012313,675,BRCA2,Alzheimer's Disease,6103,8,20.25,800.625,762.875,13,32326275,missense variant,Moderate,19,2026021056,3,""
rs1483785186,4137,MAPT,Alzheimer's Disease,3045.5,9,50.6666666666667,953.333333333333,338.388888888889,17,45996464,missense variant,Moderate,19,2436823186,3,""
rs1484303631,3416,IDE,Alzheimer's Disease,2852,9,22.8888888888889,954.777777777778,316.888888888889,10,92573999,stop gained,High,19,1712308118,4,""
rs148763909,79685,SAP30L,Alzheimer's Disease,3772,10,67.9,1064.7,377.2,5,154457546,3 prime UTR variant,Modifier,19,999896064,2,""
rs1491923,120892,LRRK2,Parkinson Disease,2534,10,110.9,1240.4,253.4,12,40197315,intron variant,Modifier,19,1909038306,2,""
rs1491942,120892,LRRK2,Parkinson Disease,2534,10,110.9,1240.4,253.4,12,40227006,intron variant,Modifier,19,1909067997,2,""
rs149454736,10142,AKAP9,Alzheimer's Disease,13367,10,32.5,223,1336.7,7,92101277,intron variant,Modifier,19,1276894565,2,""
rs149474436,9463,PICK1,Alzheimer's Disease,15564,10,13.1,598.7,1556.4,22,38074931,synonymous variant,Low,19,2739397690,1,""
rs149979685,10142,AKAP9,Alzheimer's Disease,10564.5,10,32.5,223,1056.45,7,92102796,missense variant,Moderate,19,1276896084,3,""
rs150689919,80312,TET1,Parkinson Disease,7374,10,34.7,389.4,737.4,10,68573798,missense variant,Moderate,19,1688307917,3,""
rs151073460,2521,FUS,Parkinson Disease,8078.5,9,40.1111111111111,995.444444444444,897.611111111111,16,31185099,synonymous variant,Low,19,2332091977,1,""
rs151117874,23400,ATP13A2,Parkinson Disease,5513,10,45.9,494.6,551.3,1,17005754,missense variant,Moderate,19,17005754,3,""
rs151181674,23400,ATP13A2,Parkinson Disease,5513,10,45.9,494.6,551.3,1,16986334,missense variant,Moderate,19,16986334,3,""
rs1526123,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45705974,intron variant,Modifier,19,2436532696,2,""
rs1531517,,"",Alzheimer's Disease,3181.5,10,76.9,1095.7,318.15,19,44738916,intergenic variant,,19,2585555944,2,""
rs1532278,1191,CLU,Alzheimer's Disease,3890,10,72,1048.3,389,8,27608798,non coding transcript exon variant,Modifier,19,1367712062,2,""
rs1554483,9575,CLOCK,Alzheimer's Disease,14956,10,26.2,176.2,1495.6,4,55455650,intron variant,Modifier,19,731720757,2,""
rs1559085,831,CAST,Parkinson Disease,9236,10,45.9,301.5,923.6,5,96742998,intron variant,Modifier,19,942181516,2,""
rs1561901881,1436,CSF1R,Alzheimer's Disease,444,10,132.1,1370.7,44.4,5,150054414,missense variant,Moderate,19,995492932,3,""
rs1561905293,1436,CSF1R,Alzheimer's Disease,444,10,132.1,1370.7,44.4,5,150056335,missense variant,Moderate,19,995494853,3,""
rs156429,10457,GPNMB,Parkinson Disease,7646,9,30.3333333333333,854.666666666667,849.555555555556,7,23266401,non coding transcript exon variant,Modifier,19,1208059689,2,""
rs1566630910,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73173651,missense variant,Moderate,19,2179955724,3,""
rs1566638673,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73186881,inframe insertion,Moderate,19,2179968954,3,""
rs1566656702,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73217173,missense variant,Moderate,19,2179999246,3,""
rs1566657804,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73219182,missense variant,Moderate,19,2180001255,3,""
rs156697,119391,GSTO2,Alzheimer's Disease,10564.5,10,32.5,223,1056.45,10,104279427,missense variant,Moderate,8,1724013546,3,""
rs156697,119391,GSTO2,Parkinson Disease,9015,10,33.7,220.1,901.5,10,104279427,missense variant,Moderate,8,1724013546,3,""
rs1568339995,4137,MAPT,Alzheimer's Disease,3045.5,9,50.6666666666667,953.333333333333,338.388888888889,17,46018704,missense variant,Moderate,19,2436845426,3,""
rs1568565,347,APOD,Alzheimer's Disease,10195,8,17.5,837.375,1274.375,3,195574323,intron variant,Modifier,19,676265107,2,""
rs1569061,6804,STX1A,Multiple Sclerosis,1481,10,45.4,868.9,148.1,7,73700151,3 prime UTR variant,Modifier,19,1258493439,2,""
rs1570360,7422,VEGFA,Alzheimer's Disease,1111,8,61,3290.875,138.875,6,43770093,upstream gene variant,Modifier,19,1065835358,2,""
rs1572931,8934,RAB29,Parkinson Disease,10097.5,8,11.75,561.125,1262.1875,1,205775090,splice region variant,Low,19,205775090,1,""
rs157595,,"",Alzheimer's Disease,5694,10,41.7,1253.1,569.4,19,44922203,upstream gene variant,Modifier,19,2585739231,2,""
rs1610603,3134,HLA-F,Multiple Sclerosis,2708,6,13.5,869.666666666667,451.333333333333,6,29740445,intron variant,Modifier,19,1051805710,2,""
rs1611115,1621,DBH,Alzheimer's Disease,13141,8,10.125,294.5,1642.625,9,133635393,upstream gene variant,Modifier,8,1616351480,2,""
rs1611115,1621,DBH,Parkinson Disease,12778,10,10,300.3,1277.8,9,133635393,upstream gene variant,Modifier,8,1616351480,2,""
rs1611131,1621,DBH,Alzheimer's Disease,13730,8,10.125,294.5,1716.25,9,133657065,splice region variant,Low,19,1616373152,1,""
rs162036,4552,MTRR,Parkinson Disease,9336.5,10,35.3,195.3,933.65,5,7885846,missense variant,Moderate,19,853324364,3,""
rs1632953,3134,HLA-F,Multiple Sclerosis,2708,6,13.5,869.666666666667,451.333333333333,6,29724528,intron variant,Modifier,19,1051789793,2,""
rs1635291,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45674547,intron variant,Modifier,19,2436501269,2,""
rs165932,5663,PSEN1,Alzheimer's Disease,4991.5,10,45.8,1243.3,499.15,14,73198145,intron variant,Modifier,19,2179980218,2,""
rs168552,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89721993,intron variant,Modifier,19,765987100,2,""
rs16856139,85414,SLC45A3,Parkinson Disease,8030.5,8,24.125,735.125,1003.8125,1,205669336,intron variant,Modifier,19,205669336,2,""
rs169201,4905,NSF,Parkinson Disease,11087,10,33.7,220.1,1108.7,17,46712837,intron variant,Modifier,19,2437539559,2,""
rs16940665,1394,CRHR1,Parkinson Disease,2167,10,53,691.3,216.7,17,45830530,stop lost,High,19,2436657252,4,""
rs16940665,104909134,LINC02210-CRHR1,Parkinson Disease,11841,10,10.6,106.2,1184.1,17,45830530,stop lost,High,19,2436657252,4,""
rs16940668,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45830600,non coding transcript exon variant,Modifier,19,2436657322,2,""
rs16940668,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45830600,non coding transcript exon variant,Modifier,19,2436657322,2,""
rs16940674,1394,CRHR1,Parkinson Disease,4138,10,53,691.3,413.8,17,45833141,missense variant,Moderate,19,2436659863,3,""
rs16940674,104909134,LINC02210-CRHR1,Parkinson Disease,12966,10,10.6,106.2,1296.6,17,45833141,missense variant,Moderate,19,2436659863,3,""
rs16940676,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45833670,intron variant,Modifier,19,2436660392,2,""
rs16940676,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45833670,intron variant,Modifier,19,2436660392,2,""
rs16940677,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45834532,intron variant,Modifier,19,2436661254,2,""
rs16940677,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45834532,intron variant,Modifier,19,2436661254,2,""
rs16944,3553,IL1B,Parkinson Disease,778.5,9,131.777777777778,5177.88888888889,86.5,2,112837290,upstream gene variant,Modifier,19,360256310,2,""
rs1699102,6653,SORL1,Alzheimer's Disease,1450,10,77.1,1152.4,145,11,121586253,missense variant,Moderate,19,1867366519,3,""
rs17000900,4599,MX1,Multiple Sclerosis,2354,6,13.5,1065.83333333333,392.333333333333,21,41426103,5 prime UTR variant,Modifier,19,2697210982,2,""
rs17014873,274,BIN1,Alzheimer's Disease,5584,10,58.7,768.4,558.4,2,127072643,intron variant,Modifier,19,374491663,2,""
rs17016074,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89726127,3 prime UTR variant,Modifier,19,765991234,2,""
rs17070145,23286,WWC1,Alzheimer's Disease,13367,10,32.5,223,1336.7,5,168418786,intron variant,Modifier,19,1013857304,2,""
rs17125721,5663,PSEN1,Alzheimer's Disease,2200,10,45.8,1243.3,220,14,73206470,missense variant,Moderate,19,2179988543,3,""
rs17172199,23072,HECW1,Alzheimer's Disease,13988,8,10.125,107.75,1748.5,7,43337677,intron variant,Modifier,19,1228130965,2,""
rs17174870,10461,MERTK,Multiple Sclerosis,4040,8,14.25,589.5,505,2,111907624,intron variant,Modifier,19,359326644,2,""
rs17277986,114815,SORCS1,Alzheimer's Disease,11184,8,16.25,524.375,1398,10,106998968,intron variant,Modifier,19,1726733087,2,""
rs1732170,2932,GSK3B,Parkinson Disease,581,10,222.6,3461.8,58.1,3,119864829,intron variant,Modifier,19,600555613,2,""
rs17334797,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45748546,intron variant,Modifier,19,2436575268,2,""
rs1736921,3134,HLA-F,Multiple Sclerosis,2708,6,13.5,869.666666666667,451.333333333333,6,29728432,3 prime UTR variant,Modifier,19,1051793697,2,""
rs17421624,7148,TNXB,Multiple Sclerosis,1573,10,35.4,939,157.3,6,32098400,intron variant,Modifier,19,1054163665,2,""
rs17425752,1394,CRHR1,Parkinson Disease,8482,10,53,691.3,848.2,17,45829360,splice region variant,Low,19,2436656082,1,""
rs17425752,104909134,LINC02210-CRHR1,Parkinson Disease,13682,10,10.6,106.2,1368.2,17,45829360,splice region variant,Low,19,2436656082,1,""
rs17426064,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45751332,intron variant,Modifier,19,2436578054,2,""
rs17466213,120892,LRRK2,Parkinson Disease,1431,10,110.9,1240.4,143.1,12,40308618,missense variant,Moderate,19,1909149609,3,""
rs17563965,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45913553,intron variant,Modifier,19,2436740275,2,""
rs17563986,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45913906,intron variant,Modifier,19,2436740628,2,""
rs17564983,4137,MAPT,Parkinson Disease,5440,10,63.6,815,544,17,45934459,intron variant,Modifier,19,2436761181,2,""
rs17571,1509,CTSD,Alzheimer's Disease,395,10,99.2,1960.3,39.5,11,1761364,missense variant,Moderate,8,1747541630,3,""
rs17571,1509,CTSD,Parkinson Disease,822,10,128.5,1800.5,82.2,11,1761364,missense variant,Moderate,8,1747541630,3,""
